Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Page Views - Total,Page Views - Total - B2B,Sessions - Total,Sessions - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Average Offer Count,Average Parent Items
12/5/25,$117.93,$0.00,7,0,3,0,26,0,21,0,100.00%,0.00%,33.33%,0.00%,4,2
12/6/25,$113.97,$0.00,6,0,6,0,50,1,38,1,100.00%,0.00%,15.79%,0.00%,4,2
12/7/25,$83.94,$0.00,6,0,6,0,58,0,48,0,98.15%,0.00%,12.50%,0.00%,4,2
12/8/25,$25.98,$0.00,2,0,2,0,58,0,48,0,100.00%,0.00%,4.17%,0.00%,4,2
12/9/25,$43.99,$0.00,2,0,2,0,61,4,48,4,100.00%,100.00%,4.17%,0.00%,4,2
12/10/25,$114.94,$0.00,7,0,7,0,63,1,44,1,100.00%,0.00%,15.91%,0.00%,4,2
12/11/25,$57.96,$0.00,4,0,2,0,43,0,35,0,100.00%,0.00%,11.43%,0.00%,4,2
12/12/25,$12.99,$0.00,1,0,1,0,57,1,36,1,100.00%,0.00%,2.78%,0.00%,4,2
12/13/25,$63.96,$0.00,4,0,4,0,63,0,46,0,100.00%,0.00%,8.70%,0.00%,4,2
12/14/25,$120.95,$0.00,7,0,7,0,64,0,45,0,98.21%,0.00%,15.56%,0.00%,4,2
12/15/25,$64.95,$0.00,5,0,5,0,39,1,29,1,100.00%,100.00%,17.24%,0.00%,5,3
12/16/25,$25.00,$0.00,1,0,1,0,50,3,39,3,100.00%,50.00%,2.56%,0.00%,5,3
12/17/25,$53.97,$0.00,4,0,4,0,40,1,31,1,83.33%,0.00%,12.90%,0.00%,5,3
12/18/25,$44.97,$0.00,3,0,3,0,63,0,34,0,97.96%,0.00%,8.82%,0.00%,5,3
12/19/25,$38.97,$0.00,3,0,3,0,59,0,38,0,100.00%,0.00%,7.89%,0.00%,5,3
12/20/25,$25.98,$0.00,3,0,3,0,39,3,33,1,100.00%,0.00%,9.09%,0.00%,5,3
12/21/25,$25.98,$0.00,2,0,2,0,58,6,44,4,100.00%,100.00%,4.55%,0.00%,5,3
12/22/25,$51.96,$0.00,4,0,4,0,48,1,30,1,100.00%,0.00%,13.33%,0.00%,5,3
12/23/25,$46.98,$0.00,3,0,3,0,19,0,13,0,100.00%,0.00%,23.08%,0.00%,5,3
12/24/25,$25.00,$0.00,1,0,1,0,21,0,21,0,94.74%,0.00%,4.76%,0.00%,5,3
12/25/25,$12.99,$0.00,1,0,1,0,29,1,24,1,100.00%,0.00%,4.17%,0.00%,5,3
12/26/25,$18.99,$0.00,1,0,1,0,48,0,25,0,100.00%,0.00%,4.00%,0.00%,5,3
12/27/25,$94.96,$0.00,5,0,5,0,133,0,54,0,100.00%,0.00%,9.26%,0.00%,5,3
12/28/25,$95.95,$0.00,6,0,5,0,100,0,55,0,98.92%,0.00%,10.91%,0.00%,5,3
12/29/25,$12.99,$0.00,1,0,1,0,27,3,22,3,100.00%,100.00%,4.55%,0.00%,5,3
12/30/25,$20.00,$0.00,1,0,1,0,37,2,25,1,100.00%,100.00%,4.00%,0.00%,5,3
12/31/25,$25.98,$0.00,2,0,1,0,21,1,18,1,100.00%,0.00%,11.11%,0.00%,5,3
1/1/26,$18.99,$0.00,1,0,1,0,35,0,28,0,100.00%,0.00%,3.57%,0.00%,5,3
1/2/26,$50.98,$0.00,3,0,3,0,37,0,30,0,100.00%,0.00%,10.00%,0.00%,5,3
1/3/26,$38.97,$0.00,3,0,3,0,42,0,32,0,100.00%,0.00%,9.38%,0.00%,5,3
